mixture,system,x_NaCl,pair,r_A,g_r
LiCl-NaCl,li3040,0.05,X-Cl,0.81,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.8300000000000001,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.85,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.87,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.89,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.91,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.93,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.95,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.97,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.99,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.01,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.03,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.05,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.07,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.09,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.11,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.1300000000000001,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.15,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.17,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.19,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.21,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.23,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.25,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.27,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.29,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.31,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.33,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.35,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.37,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.3900000000000001,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.4100000000000001,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.43,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.45,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.47,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.49,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.51,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.53,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.55,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.57,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.59,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.61,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.6300000000000001,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.6500000000000001,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.67,4.7649280195843684e-05
LiCl-NaCl,li3040,0.05,X-Cl,1.69,0.0
LiCl-NaCl,li3040,0.05,X-Cl,1.71,4.54461718050453e-05
LiCl-NaCl,li3040,0.05,X-Cl,1.73,0.00013320443629747183
LiCl-NaCl,li3040,0.05,X-Cl,1.75,0.0006074935745565888
LiCl-NaCl,li3040,0.05,X-Cl,1.77,0.0007210946033774343
LiCl-NaCl,li3040,0.05,X-Cl,1.79,0.002281111883072061
LiCl-NaCl,li3040,0.05,X-Cl,1.81,0.004421395927327053
LiCl-NaCl,li3040,0.05,X-Cl,1.83,0.011785402642647063
LiCl-NaCl,li3040,0.05,X-Cl,1.85,0.024811193115207842
LiCl-NaCl,li3040,0.05,X-Cl,1.87,0.04051019458767589
LiCl-NaCl,li3040,0.05,X-Cl,1.8900000000000001,0.07801268885509934
LiCl-NaCl,li3040,0.05,X-Cl,1.9100000000000001,0.127822451607848
LiCl-NaCl,li3040,0.05,X-Cl,1.93,0.20153363944929895
LiCl-NaCl,li3040,0.05,X-Cl,1.95,0.3106870909002367
LiCl-NaCl,li3040,0.05,X-Cl,1.97,0.44569302229826174
LiCl-NaCl,li3040,0.05,X-Cl,1.99,0.6165449488948038
LiCl-NaCl,li3040,0.05,X-Cl,2.01,0.8192570742543971
LiCl-NaCl,li3040,0.05,X-Cl,2.0300000000000002,1.0739132609249513
LiCl-NaCl,li3040,0.05,X-Cl,2.05,1.3409439328492914
LiCl-NaCl,li3040,0.05,X-Cl,2.0700000000000003,1.6408918628045794
LiCl-NaCl,li3040,0.05,X-Cl,2.09,1.9384164857164765
LiCl-NaCl,li3040,0.05,X-Cl,2.1100000000000003,2.2528949685934347
LiCl-NaCl,li3040,0.05,X-Cl,2.13,2.5420363225328644
LiCl-NaCl,li3040,0.05,X-Cl,2.1500000000000004,2.8094997190460957
LiCl-NaCl,li3040,0.05,X-Cl,2.17,3.1005532996864527
LiCl-NaCl,li3040,0.05,X-Cl,2.1900000000000004,3.3105923945944147
LiCl-NaCl,li3040,0.05,X-Cl,2.21,3.4846659980121686
LiCl-NaCl,li3040,0.05,X-Cl,2.2300000000000004,3.6437863785906566
LiCl-NaCl,li3040,0.05,X-Cl,2.25,3.7498677121434567
LiCl-NaCl,li3040,0.05,X-Cl,2.2700000000000005,3.8211267278114494
LiCl-NaCl,li3040,0.05,X-Cl,2.29,3.839261713895437
LiCl-NaCl,li3040,0.05,X-Cl,2.31,3.819739156385685
LiCl-NaCl,li3040,0.05,X-Cl,2.33,3.7790956487835907
LiCl-NaCl,li3040,0.05,X-Cl,2.3499999999999996,3.7354263861106722
LiCl-NaCl,li3040,0.05,X-Cl,2.37,3.65161480693569
LiCl-NaCl,li3040,0.05,X-Cl,2.3899999999999997,3.5504616424084605
LiCl-NaCl,li3040,0.05,X-Cl,2.41,3.426157549184812
LiCl-NaCl,li3040,0.05,X-Cl,2.4299999999999997,3.2922374426189696
LiCl-NaCl,li3040,0.05,X-Cl,2.45,3.1531608459762572
LiCl-NaCl,li3040,0.05,X-Cl,2.4699999999999998,3.023845680161151
LiCl-NaCl,li3040,0.05,X-Cl,2.49,2.8667329558138492
LiCl-NaCl,li3040,0.05,X-Cl,2.51,2.737953832988815
LiCl-NaCl,li3040,0.05,X-Cl,2.5300000000000002,2.5859659356921147
LiCl-NaCl,li3040,0.05,X-Cl,2.55,2.453616095930024
LiCl-NaCl,li3040,0.05,X-Cl,2.5700000000000003,2.326525581476533
LiCl-NaCl,li3040,0.05,X-Cl,2.59,2.2055687709648883
LiCl-NaCl,li3040,0.05,X-Cl,2.6100000000000003,2.0806580044381078
LiCl-NaCl,li3040,0.05,X-Cl,2.63,1.9718805607388679
LiCl-NaCl,li3040,0.05,X-Cl,2.6500000000000004,1.8603469501230927
LiCl-NaCl,li3040,0.05,X-Cl,2.67,1.7605894360962884
LiCl-NaCl,li3040,0.05,X-Cl,2.6900000000000004,1.6767495863183222
LiCl-NaCl,li3040,0.05,X-Cl,2.71,1.5706291364851754
LiCl-NaCl,li3040,0.05,X-Cl,2.7300000000000004,1.4962948824525688
LiCl-NaCl,li3040,0.05,X-Cl,2.75,1.4215065163881107
LiCl-NaCl,li3040,0.05,X-Cl,2.7700000000000005,1.3520396149304696
LiCl-NaCl,li3040,0.05,X-Cl,2.79,1.2863917064983061
LiCl-NaCl,li3040,0.05,X-Cl,2.81,1.2255826567031207
LiCl-NaCl,li3040,0.05,X-Cl,2.83,1.1707716997106177
LiCl-NaCl,li3040,0.05,X-Cl,2.8499999999999996,1.1119250549494528
LiCl-NaCl,li3040,0.05,X-Cl,2.87,1.0636824707408183
LiCl-NaCl,li3040,0.05,X-Cl,2.8899999999999997,1.024126442498748
LiCl-NaCl,li3040,0.05,X-Cl,2.91,0.9809555783403375
LiCl-NaCl,li3040,0.05,X-Cl,2.9299999999999997,0.9437555075627012
LiCl-NaCl,li3040,0.05,X-Cl,2.95,0.911822699798626
LiCl-NaCl,li3040,0.05,X-Cl,2.9699999999999998,0.8794261825865197
LiCl-NaCl,li3040,0.05,X-Cl,2.99,0.8448985227781904
LiCl-NaCl,li3040,0.05,X-Cl,3.01,0.8143467095246604
LiCl-NaCl,li3040,0.05,X-Cl,3.0300000000000002,0.7912125393813404
LiCl-NaCl,li3040,0.05,X-Cl,3.05,0.775313008736991
LiCl-NaCl,li3040,0.05,X-Cl,3.0700000000000003,0.7488177615930565
LiCl-NaCl,li3040,0.05,X-Cl,3.09,0.7282440406996782
LiCl-NaCl,li3040,0.05,X-Cl,3.1100000000000003,0.7105952854559754
LiCl-NaCl,li3040,0.05,X-Cl,3.13,0.6989931102714688
LiCl-NaCl,li3040,0.05,X-Cl,3.1500000000000004,0.6878684363463761
LiCl-NaCl,li3040,0.05,X-Cl,3.17,0.6645503078439376
LiCl-NaCl,li3040,0.05,X-Cl,3.1900000000000004,0.6494397711570217
LiCl-NaCl,li3040,0.05,X-Cl,3.21,0.6464020648293761
LiCl-NaCl,li3040,0.05,X-Cl,3.2300000000000004,0.6294800901809955
LiCl-NaCl,li3040,0.05,X-Cl,3.25,0.6198567254991793
LiCl-NaCl,li3040,0.05,X-Cl,3.2700000000000005,0.6106695369917121
LiCl-NaCl,li3040,0.05,X-Cl,3.29,0.6053301523397316
LiCl-NaCl,li3040,0.05,X-Cl,3.3100000000000005,0.5937311910439615
LiCl-NaCl,li3040,0.05,X-Cl,3.33,0.5913544350144629
LiCl-NaCl,li3040,0.05,X-Cl,3.3499999999999996,0.5787017545623504
LiCl-NaCl,li3040,0.05,X-Cl,3.37,0.5783241017687962
LiCl-NaCl,li3040,0.05,X-Cl,3.3899999999999997,0.5726189116703351
LiCl-NaCl,li3040,0.05,X-Cl,3.41,0.5689616389462728
LiCl-NaCl,li3040,0.05,X-Cl,3.4299999999999997,0.5592509171416356
LiCl-NaCl,li3040,0.05,X-Cl,3.45,0.555978824161464
LiCl-NaCl,li3040,0.05,X-Cl,3.4699999999999998,0.5597199097349018
LiCl-NaCl,li3040,0.05,X-Cl,3.49,0.5515011365990038
LiCl-NaCl,li3040,0.05,X-Cl,3.51,0.5525042223062004
LiCl-NaCl,li3040,0.05,X-Cl,3.5300000000000002,0.5510923599359235
LiCl-NaCl,li3040,0.05,X-Cl,3.55,0.5501938450411872
LiCl-NaCl,li3040,0.05,X-Cl,3.5700000000000003,0.5439943573862414
LiCl-NaCl,li3040,0.05,X-Cl,3.59,0.540682476260856
LiCl-NaCl,li3040,0.05,X-Cl,3.6100000000000003,0.5435796690488713
LiCl-NaCl,li3040,0.05,X-Cl,3.63,0.5511102729444338
LiCl-NaCl,li3040,0.05,X-Cl,3.6500000000000004,0.5418953086624723
LiCl-NaCl,li3040,0.05,X-Cl,3.67,0.5500254374760256
LiCl-NaCl,li3040,0.05,X-Cl,3.6900000000000004,0.547583041052377
LiCl-NaCl,li3040,0.05,X-Cl,3.71,0.5490038311230083
LiCl-NaCl,li3040,0.05,X-Cl,3.7300000000000004,0.5482040841365515
LiCl-NaCl,li3040,0.05,X-Cl,3.75,0.5568873511454641
LiCl-NaCl,li3040,0.05,X-Cl,3.7700000000000005,0.5544632617773572
LiCl-NaCl,li3040,0.05,X-Cl,3.79,0.562587467176677
LiCl-NaCl,li3040,0.05,X-Cl,3.8100000000000005,0.5607337702758454
LiCl-NaCl,li3040,0.05,X-Cl,3.83,0.5705745418714238
LiCl-NaCl,li3040,0.05,X-Cl,3.8499999999999996,0.5719328845998826
LiCl-NaCl,li3040,0.05,X-Cl,3.87,0.5785565564772108
LiCl-NaCl,li3040,0.05,X-Cl,3.8899999999999997,0.5780060723374548
LiCl-NaCl,li3040,0.05,X-Cl,3.91,0.579235875760828
LiCl-NaCl,li3040,0.05,X-Cl,3.9299999999999997,0.5901850947330773
LiCl-NaCl,li3040,0.05,X-Cl,3.95,0.5954068283828137
LiCl-NaCl,li3040,0.05,X-Cl,3.9699999999999998,0.6008309125704636
LiCl-NaCl,li3040,0.05,X-Cl,3.99,0.6057743556097227
LiCl-NaCl,li3040,0.05,X-Cl,4.01,0.6131514563244924
LiCl-NaCl,li3040,0.05,X-Cl,4.03,0.622005493058581
LiCl-NaCl,li3040,0.05,X-Cl,4.050000000000001,0.6259641980940769
LiCl-NaCl,li3040,0.05,X-Cl,4.07,0.6321096513593615
LiCl-NaCl,li3040,0.05,X-Cl,4.09,0.6446115106805818
LiCl-NaCl,li3040,0.05,X-Cl,4.109999999999999,0.6483521719276324
LiCl-NaCl,li3040,0.05,X-Cl,4.13,0.6553092854773522
LiCl-NaCl,li3040,0.05,X-Cl,4.15,0.6603123594225994
LiCl-NaCl,li3040,0.05,X-Cl,4.17,0.668880742405464
LiCl-NaCl,li3040,0.05,X-Cl,4.1899999999999995,0.6820851534992745
LiCl-NaCl,li3040,0.05,X-Cl,4.21,0.6861767358837014
LiCl-NaCl,li3040,0.05,X-Cl,4.23,0.6984639995099331
LiCl-NaCl,li3040,0.05,X-Cl,4.25,0.7030887282913336
LiCl-NaCl,li3040,0.05,X-Cl,4.27,0.7160145810618346
LiCl-NaCl,li3040,0.05,X-Cl,4.29,0.7192969279944762
LiCl-NaCl,li3040,0.05,X-Cl,4.3100000000000005,0.7314371077716716
LiCl-NaCl,li3040,0.05,X-Cl,4.33,0.7407782572371853
LiCl-NaCl,li3040,0.05,X-Cl,4.35,0.7524593695118555
LiCl-NaCl,li3040,0.05,X-Cl,4.37,0.7595260061961195
LiCl-NaCl,li3040,0.05,X-Cl,4.390000000000001,0.7732663478947372
LiCl-NaCl,li3040,0.05,X-Cl,4.41,0.7868292503998532
LiCl-NaCl,li3040,0.05,X-Cl,4.43,0.7926811251049888
LiCl-NaCl,li3040,0.05,X-Cl,4.45,0.7988592917314743
LiCl-NaCl,li3040,0.05,X-Cl,4.470000000000001,0.8098769016589003
LiCl-NaCl,li3040,0.05,X-Cl,4.49,0.8250504609827404
LiCl-NaCl,li3040,0.05,X-Cl,4.51,0.8325473771861868
LiCl-NaCl,li3040,0.05,X-Cl,4.53,0.8457795330792259
LiCl-NaCl,li3040,0.05,X-Cl,4.550000000000001,0.857938574853202
LiCl-NaCl,li3040,0.05,X-Cl,4.57,0.864189772311886
LiCl-NaCl,li3040,0.05,X-Cl,4.59,0.8781464079380414
LiCl-NaCl,li3040,0.05,X-Cl,4.61,0.8870327509614888
LiCl-NaCl,li3040,0.05,X-Cl,4.63,0.9010147826310315
LiCl-NaCl,li3040,0.05,X-Cl,4.65,0.913046122053564
LiCl-NaCl,li3040,0.05,X-Cl,4.67,0.9196349796279191
LiCl-NaCl,li3040,0.05,X-Cl,4.6899999999999995,0.9357207880686782
LiCl-NaCl,li3040,0.05,X-Cl,4.71,0.9480323824698972
LiCl-NaCl,li3040,0.05,X-Cl,4.73,0.9570496731772135
LiCl-NaCl,li3040,0.05,X-Cl,4.75,0.9672777013873538
LiCl-NaCl,li3040,0.05,X-Cl,4.77,0.9825399136609068
LiCl-NaCl,li3040,0.05,X-Cl,4.79,0.993123752805871
LiCl-NaCl,li3040,0.05,X-Cl,4.8100000000000005,1.0032739429055142
LiCl-NaCl,li3040,0.05,X-Cl,4.83,1.0134843397152666
LiCl-NaCl,li3040,0.05,X-Cl,4.85,1.0205661003076951
LiCl-NaCl,li3040,0.05,X-Cl,4.87,1.0379531479727762
LiCl-NaCl,li3040,0.05,X-Cl,4.890000000000001,1.0509318944258792
LiCl-NaCl,li3040,0.05,X-Cl,4.91,1.0572709230171506
LiCl-NaCl,li3040,0.05,X-Cl,4.93,1.0675898384439406
LiCl-NaCl,li3040,0.05,X-Cl,4.95,1.0754516051226322
LiCl-NaCl,li3040,0.05,X-Cl,4.970000000000001,1.0921532184631895
LiCl-NaCl,li3040,0.05,X-Cl,4.99,1.0957123629789982
LiCl-NaCl,li3040,0.05,X-Cl,5.01,1.1105523945760178
LiCl-NaCl,li3040,0.05,X-Cl,5.03,1.123614786309601
LiCl-NaCl,li3040,0.05,X-Cl,5.050000000000001,1.1309435531457395
LiCl-NaCl,li3040,0.05,X-Cl,5.07,1.1325643478768137
LiCl-NaCl,li3040,0.05,X-Cl,5.09,1.1501743859194382
LiCl-NaCl,li3040,0.05,X-Cl,5.11,1.1576930689818463
LiCl-NaCl,li3040,0.05,X-Cl,5.13,1.1631005117361213
LiCl-NaCl,li3040,0.05,X-Cl,5.15,1.172061882087081
LiCl-NaCl,li3040,0.05,X-Cl,5.17,1.1797910504080895
LiCl-NaCl,li3040,0.05,X-Cl,5.1899999999999995,1.1911899974589566
LiCl-NaCl,li3040,0.05,X-Cl,5.21,1.1971116596233315
LiCl-NaCl,li3040,0.05,X-Cl,5.23,1.2037339989268125
LiCl-NaCl,li3040,0.05,X-Cl,5.25,1.2049606988453936
LiCl-NaCl,li3040,0.05,X-Cl,5.27,1.215191951683188
LiCl-NaCl,li3040,0.05,X-Cl,5.29,1.2228504336171062
LiCl-NaCl,li3040,0.05,X-Cl,5.3100000000000005,1.2283515001055605
LiCl-NaCl,li3040,0.05,X-Cl,5.33,1.236720140311554
LiCl-NaCl,li3040,0.05,X-Cl,5.35,1.2411502484181525
LiCl-NaCl,li3040,0.05,X-Cl,5.37,1.2444571186995288
LiCl-NaCl,li3040,0.05,X-Cl,5.390000000000001,1.2434130799802938
LiCl-NaCl,li3040,0.05,X-Cl,5.41,1.2519671214016868
LiCl-NaCl,li3040,0.05,X-Cl,5.43,1.2553542767100667
LiCl-NaCl,li3040,0.05,X-Cl,5.45,1.2582554188070596
LiCl-NaCl,li3040,0.05,X-Cl,5.470000000000001,1.2580782614613517
LiCl-NaCl,li3040,0.05,X-Cl,5.49,1.259461966216011
LiCl-NaCl,li3040,0.05,X-Cl,5.51,1.2604991979429816
LiCl-NaCl,li3040,0.05,X-Cl,5.53,1.2642870317130515
LiCl-NaCl,li3040,0.05,X-Cl,5.550000000000001,1.261235783221232
LiCl-NaCl,li3040,0.05,X-Cl,5.57,1.265537342373505
LiCl-NaCl,li3040,0.05,X-Cl,5.59,1.2617967616506087
LiCl-NaCl,li3040,0.05,X-Cl,5.61,1.261712819401131
LiCl-NaCl,li3040,0.05,X-Cl,5.63,1.2584244683858767
LiCl-NaCl,li3040,0.05,X-Cl,5.65,1.2523701517079593
LiCl-NaCl,li3040,0.05,X-Cl,5.67,1.25309928432086
LiCl-NaCl,li3040,0.05,X-Cl,5.6899999999999995,1.2534506618615646
LiCl-NaCl,li3040,0.05,X-Cl,5.71,1.2483536040762606
LiCl-NaCl,li3040,0.05,X-Cl,5.73,1.2452884043655543
LiCl-NaCl,li3040,0.05,X-Cl,5.75,1.2405996858630306
LiCl-NaCl,li3040,0.05,X-Cl,5.77,1.2344530970736654
LiCl-NaCl,li3040,0.05,X-Cl,5.79,1.229130705342887
LiCl-NaCl,li3040,0.05,X-Cl,5.8100000000000005,1.226493800814425
LiCl-NaCl,li3040,0.05,X-Cl,5.83,1.2221711352306737
LiCl-NaCl,li3040,0.05,X-Cl,5.85,1.2130676084793441
LiCl-NaCl,li3040,0.05,X-Cl,5.87,1.2041829781013684
LiCl-NaCl,li3040,0.05,X-Cl,5.890000000000001,1.202102003190103
LiCl-NaCl,li3040,0.05,X-Cl,5.91,1.195942942609329
LiCl-NaCl,li3040,0.05,X-Cl,5.93,1.1915325066370803
LiCl-NaCl,li3040,0.05,X-Cl,5.95,1.1820229311854664
LiCl-NaCl,li3040,0.05,X-Cl,5.970000000000001,1.1759248222547116
LiCl-NaCl,li3040,0.05,X-Cl,5.99,1.1622852965692179
LiCl-NaCl,li3040,0.05,X-Cl,6.01,1.1602136428533854
LiCl-NaCl,li3040,0.05,X-Cl,6.03,1.150786814073601
LiCl-NaCl,li3040,0.05,X-Cl,6.050000000000001,1.143484971113309
LiCl-NaCl,li3040,0.05,X-Cl,6.07,1.134526582207651
LiCl-NaCl,li3040,0.05,X-Cl,6.09,1.1271874173134717
LiCl-NaCl,li3040,0.05,X-Cl,6.11,1.1182681825845158
LiCl-NaCl,li3040,0.05,X-Cl,6.130000000000001,1.1118884166117353
LiCl-NaCl,li3040,0.05,X-Cl,6.15,1.1003045811705956
LiCl-NaCl,li3040,0.05,X-Cl,6.17,1.0968028432272265
LiCl-NaCl,li3040,0.05,X-Cl,6.1899999999999995,1.0849890647215161
LiCl-NaCl,li3040,0.05,X-Cl,6.21,1.076274900689061
LiCl-NaCl,li3040,0.05,X-Cl,6.23,1.0662052172536152
LiCl-NaCl,li3040,0.05,X-Cl,6.25,1.0571641188347862
LiCl-NaCl,li3040,0.05,X-Cl,6.27,1.0503765269817833
LiCl-NaCl,li3040,0.05,X-Cl,6.29,1.040399008047895
LiCl-NaCl,li3040,0.05,X-Cl,6.3100000000000005,1.0369115269567262
LiCl-NaCl,li3040,0.05,X-Cl,6.33,1.0260978023182379
LiCl-NaCl,li3040,0.05,X-Cl,6.35,1.0175944576996785
LiCl-NaCl,li3040,0.05,X-Cl,6.37,1.0118728570973274
LiCl-NaCl,li3040,0.05,X-Cl,6.390000000000001,0.9995570257188132
LiCl-NaCl,li3040,0.05,X-Cl,6.41,0.9935718475495279
LiCl-NaCl,li3040,0.05,X-Cl,6.43,0.9859831538742381
LiCl-NaCl,li3040,0.05,X-Cl,6.45,0.9797182999616223
LiCl-NaCl,li3040,0.05,X-Cl,6.470000000000001,0.9727849690162345
LiCl-NaCl,li3040,0.05,X-Cl,6.49,0.9678176965424319
LiCl-NaCl,li3040,0.05,X-Cl,6.51,0.9609708352568495
LiCl-NaCl,li3040,0.05,X-Cl,6.53,0.9524069291870645
LiCl-NaCl,li3040,0.05,X-Cl,6.550000000000001,0.950372344865537
LiCl-NaCl,li3040,0.05,X-Cl,6.57,0.9450629813524984
LiCl-NaCl,li3040,0.05,X-Cl,6.59,0.9360825503609861
LiCl-NaCl,li3040,0.05,X-Cl,6.61,0.9297056385500571
LiCl-NaCl,li3040,0.05,X-Cl,6.630000000000001,0.9230559682483663
LiCl-NaCl,li3040,0.05,X-Cl,6.65,0.9181852351677693
LiCl-NaCl,li3040,0.05,X-Cl,6.67,0.912328690471625
LiCl-NaCl,li3040,0.05,X-Cl,6.6899999999999995,0.9098808772797528
LiCl-NaCl,li3040,0.05,X-Cl,6.71,0.9049548918546577
LiCl-NaCl,li3040,0.05,X-Cl,6.73,0.8973074509375208
LiCl-NaCl,li3040,0.05,X-Cl,6.75,0.8947629537582293
LiCl-NaCl,li3040,0.05,X-Cl,6.77,0.8910266432929775
LiCl-NaCl,li3040,0.05,X-Cl,6.79,0.8894892123747516
LiCl-NaCl,li3040,0.05,X-Cl,6.8100000000000005,0.8828423988982838
LiCl-NaCl,li3040,0.05,X-Cl,6.83,0.8803374666987362
LiCl-NaCl,li3040,0.05,X-Cl,6.85,0.8781752214999028
LiCl-NaCl,li3040,0.05,X-Cl,6.87,0.87593027978879
LiCl-NaCl,li3040,0.05,X-Cl,6.890000000000001,0.8718042131290823
LiCl-NaCl,li3040,0.05,X-Cl,6.91,0.8710259135220858
LiCl-NaCl,li3040,0.05,X-Cl,6.93,0.8666005355994697
LiCl-NaCl,li3040,0.05,X-Cl,6.95,0.863369859391988
LiCl-NaCl,li3040,0.05,X-Cl,6.970000000000001,0.8659692985042338
LiCl-NaCl,li3040,0.05,X-Cl,6.99,0.8644370073145102
LiCl-NaCl,li3040,0.05,X-Cl,7.01,0.8611529761787737
LiCl-NaCl,li3040,0.05,X-Cl,7.03,0.8588414715431941
LiCl-NaCl,li3040,0.05,X-Cl,7.050000000000001,0.8599031648665629
LiCl-NaCl,li3040,0.05,X-Cl,7.07,0.8596018330153606
LiCl-NaCl,li3040,0.05,X-Cl,7.09,0.8588090695608611
LiCl-NaCl,li3040,0.05,X-Cl,7.11,0.8576540954305617
LiCl-NaCl,li3040,0.05,X-Cl,7.130000000000001,0.8576487327175591
LiCl-NaCl,li3040,0.05,X-Cl,7.15,0.8589037411554192
LiCl-NaCl,li3040,0.05,X-Cl,7.17,0.8581280664593925
LiCl-NaCl,li3040,0.05,X-Cl,7.1899999999999995,0.8596278510205754
LiCl-NaCl,li3040,0.05,X-Cl,7.21,0.86219193776553
LiCl-NaCl,li3040,0.05,X-Cl,7.23,0.8640535521300555
LiCl-NaCl,li3040,0.05,X-Cl,7.25,0.8630347328334161
LiCl-NaCl,li3040,0.05,X-Cl,7.27,0.8648778730584582
LiCl-NaCl,li3040,0.05,X-Cl,7.29,0.8650749547887099
LiCl-NaCl,li3040,0.05,X-Cl,7.3100000000000005,0.8678781338370911
LiCl-NaCl,li3040,0.05,X-Cl,7.33,0.8671281908596834
LiCl-NaCl,li3040,0.05,X-Cl,7.35,0.8724765884384319
LiCl-NaCl,li3040,0.05,X-Cl,7.37,0.8733919872914956
LiCl-NaCl,li3040,0.05,X-Cl,7.390000000000001,0.8760634912099519
LiCl-NaCl,li3040,0.05,X-Cl,7.41,0.8811112829996899
LiCl-NaCl,li3040,0.05,X-Cl,7.43,0.8800331181851726
LiCl-NaCl,li3040,0.05,X-Cl,7.45,0.8841662436821737
LiCl-NaCl,li3040,0.05,X-Cl,7.470000000000001,0.8848179318325357
LiCl-NaCl,li3040,0.05,X-Cl,7.49,0.8892804291698598
LiCl-NaCl,li3040,0.05,X-Cl,7.51,0.8899742251188282
